INDEX,rubro,articulo,cantidad,final,costo,neto,margen,IVA,ganancia
49,aguas saborizadas (20),agua tonica magna 2.25l,10.0,2300,1483.8709677419354,1900.8264462809918,55,0.21,816.0
50,aguas saborizadas (20),baggio fresh 1.5l manzana,26.0,3740,2412.9032258064517,3090.909090909091,55,0.21,1327.0
51,aguas saborizadas (20),Baggio fresh liviana LIMONE,6.0,480,309.6774193548387,396.6942148760331,55,0.21,170.0
52,aguas saborizadas (20),Baggio fresh liviano naranja dulce,20.0,2445,1577.4193548387095,2020.6611570247935,55,0.21,868.0
53,aguas saborizadas (20),Baggio fresh liviano pomelo,27.0,3640,2348.3870967741937,3008.2644628099174,55,0.21,1292.0
54,aguas saborizadas (20),Baggio Fresh mix frutal 1.5L,34.0,4095,2641.935483870968,3384.2975206611573,55,0.21,1453.0
55,aguas saborizadas (20),Baggio Fresh mix natural,10.0,800,516.1290322580645,661.1570247933885,55,0.21,284.0
56,aguas saborizadas (20),Baggio fresh naranja dulce 600ml,22.0,1800,1161.2903225806451,1487.6033057851241,55,0.21,639.0
57,aguas saborizadas (20),Baggio fresh pera 1.5l,6.0,720,464.51612903225805,595.0413223140496,55,0.21,255.0
58,aguas saborizadas (20),Sierra de los padres naranja 1.5 lts,5.0,550,354.83870967741933,454.54545454545456,55,0.21,195.0
59,aguas saborizadas (20),Sierra de los padres pomelo blanco 1.5 lts,6.0,660,425.80645161290323,545.4545454545455,55,0.21,234.0
60,alfajores (5),.,6.0,580,374.19354838709677,479.3388429752066,55,0.21,206.0
61,alfajores (5),Aguila minitorta blanco,14.0,2225,1435.483870967742,1838.8429752066115,55,0.21,790.0
62,alfajores (5),Alfajor aguila minitorta brownie,12.0,960,619.3548387096774,793.3884297520661,55,0.21,341.0
63,alfajores (5),Alfajor Aguila Minitorta Clasica,117.0,15550,10032.258064516129,12851.239669421488,55,0.21,5518.0
64,alfajores (5),Alfajor Artesanal Maicena,9.0,990,638.7096774193549,818.1818181818182,55,0.21,351.0
65,alfajores (5),Alfajor B&N triple blanco  BAGLEY,20.0,2600,1677.4193548387095,2148.7603305785124,55,0.21,923.0
66,alfajores (5),Alfajor B&N TRIPLE Negro BAGLEY,26.0,3910,2522.5806451612902,3231.404958677686,55,0.21,1387.0
67,alfajores (5),Alfajor Block x 60 g,57.0,8010,5167.741935483871,6619.834710743802,55,0.21,2842.0
68,alfajores (5),Alfajor bon o bon simple blanco 40g,24.0,2440,1574.1935483870968,2016.5289256198348,55,0.21,866.0
69,alfajores (5),Alfajor bon o bon simple negro x 40g,81.0,8490,5477.419354838709,7016.528925619835,55,0.21,3013.0
70,alfajores (5),Alfajor bon o bon x 3,88.0,11220,7238.709677419354,9272.727272727274,55,0.21,3981.0
71,alfajores (5),Alfajor Cachafaz,8.0,1440,929.0322580645161,1190.0826446280992,55,0.21,511.0
72,alfajores (5),alfajor Camelot negro,10.0,700,451.61290322580646,578.5123966942149,55,0.21,248.0
73,alfajores (5),Alfajor Fantoche Triple Blanco,288.0,30325,19564.516129032258,25061.98347107438,55,0.21,10760.0
74,alfajores (5),Alfajor Fantoche Triple Chocolate,479.0,51720,33367.74193548387,42743.801652892565,55,0.21,18352.0
75,alfajores (5),Alfajor Fantoche triple night x85g,37.0,3820,2464.516129032258,3157.0247933884298,55,0.21,1355.0
76,alfajores (5),alfajor jorgito negro 50g,1.0,65,41.935483870967744,53.719008264462815,55,0.21,23.0
77,alfajores (5),Alfajor Manon Simple 43g,14.0,590,380.64516129032256,487.603305785124,55,0.21,209.0
78,alfajores (5),Alfajor Milka Dulce de Leche,66.0,10830,6987.096774193548,8950.413223140496,55,0.21,3843.0
79,alfajores (5),Alfajor Milka Torta Oreo,47.0,7110,4587.096774193548,5876.033057851239,55,0.21,2523.0
80,alfajores (5),Alfajor minitorta aguila coco,72.0,10760,6941.935483870968,8892.561983471074,55,0.21,3818.0
81,alfajores (5),Alfajor Minitorta Chocolate Blanco Aguila,6.0,600,387.09677419354836,495.86776859504135,55,0.21,213.0
82,alfajores (5),alfajor minitorta dark aguila,18.0,3170,2045.1612903225805,2619.8347107438017,55,0.21,1125.0
