,fecha,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
25,2023-01-28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,3.0,10.0,12.0,8.0,11.0,4.0,6.0,8.0,14.0,16.0,21.0,11.0,8.0,145.0
26,2023-01-29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,11.0,10.0,16.0,10.0,1.0,60.0
27,2023-01-30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,5.0,8.0,11.0,14.0,10.0,6.0,10.0,19.0,10.0,13.0,14.0,8.0,6.0,0.0,145.0
28,2023-01-31,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,5.0,9.0,5.0,9.0,10.0,12.0,11.0,13.0,11.0,8.0,11.0,9.0,19.0,1.0,144.0
29,2023-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,10.0,13.0,8.0,5.0,10.0,13.0,10.0,10.0,20.0,11.0,6.0,0.0,134.0
30,2023-02-02,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,6.0,7.0,5.0,15.0,13.0,3.0,0.0,8.0,12.0,16.0,17.0,15.0,17.0,9.0,156.0
31,2023-02-03,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,5.0,9.0,7.0,5.0,6.0,4.0,0.0,41.0,14.0,18.0,14.0,16.0,11.0,180.0
32,2023-02-04,10,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,11.0,5.0,2.0,6.0,18.0,9.0,11.0,12.0,11.0,10.0,10.0,2.0,143.0
33,2023-02-05,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,13.0,18.0,10.0,16.0,14.0,2.0,79.0
34,2023-02-06,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,8.0,12.0,11.0,8.0,9.0,5.0,6.0,12.0,13.0,10.0,18.0,9.0,11.0,0.0,143.0
35,2023-02-07,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,8.0,6.0,11.0,16.0,8.0,2.0,9.0,8.0,14.0,12.0,17.0,15.0,9.0,0.0,146.0
36,2023-02-08,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,10.0,5.0,9.0,7.0,6.0,8.0,6.0,10.0,9.0,14.0,9.0,18.0,15.0,7.0,0.0,142.0
37,2023-02-09,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,6.0,11.0,9.0,10.0,13.0,5.0,9.0,15.0,16.0,15.0,18.0,9.0,5.0,0.0,156.0
38,2023-02-10,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,12.0,7.0,13.0,9.0,15.0,10.0,3.0,14.0,16.0,26.0,19.0,37.0,18.0,10.0,233.0
39,2023-02-11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,8.0,12.0,10.0,5.0,7.0,9.0,8.0,10.0,6.0,7.0,10.0,20.0,13.0,14.0,149.0
